#File contains first 16 digits of sha256 hash, then next 16 digits of sha256 hash.
#A bunch of possibly-kyu-level gogod games
48c3f730f550d1e4,f4b7b8cd84744651 #GoGoDSummer2017/1994/1994-06-30l.sgf
4936139c381e25fa,f21f301df32f774d #GoGoDSummer2017/1990/1990-12-00c.sgf
49df3de23d9dc600,aebd578b511089ff #GoGoDSummer2017/1999/1999-04-00b.sgf
4a616ad72bad584f,ca78a04da97bb248 #GoGoDSummer2017/1960-69/1968-11-15a.sgf
4a6b65604af66551,50b86d6baa1c385a #GoGoDSummer2017/2016/2016-06-07ag.sgf
4a6e3bde3f324497,85f1f64584baa1fa #GoGoDSummer2017/2002/2002-06-27n.sgf
4d2d169844d04931,d47616149b1e3aea #GoGoDSummer2017/1994/1994-12-17l.sgf
4dd57aba1a0cd68b,2bf327d84e7f4fc7 #GoGoDSummer2017/1986/1986-01-00b.sgf
4e968944969ef4a8,682cba7ea44c8c69 #GoGoDSummer2017/2015/2015-06-08t.sgf
4f87bbb662ddaaac,41ee5de490bcfc92 #GoGoDSummer2017/2013/2013-09-03m.sgf
4fd063d490940e68,ef3f213830187c76 #GoGoDSummer2017/2002/2002-04-07c.sgf
4fd46f19bab8e10a,48b000b0b1ee64b5 #GoGoDSummer2017/2013/2013-09-03l.sgf
503b45b92ab542e8,d9c9ec1afa3e9173 #GoGoDSummer2017/1986/1986-07-31c.sgf
5094258da9939fd1,c64b084004f31cd0 #GoGoDSummer2017/2016/2016-06-06ad.sgf
5429ccb016cfe0b8,ea139a942dfb0967 #GoGoDSummer2017/1994/1994-08-20a.sgf
558baec2adcd1964,d2f34370744cc09b #GoGoDSummer2017/1983/1983-12-19b.sgf
56c3f869104f04de,99b823ed7e04c03e #GoGoDSummer2017/2015/2015-06-07p.sgf
590141f25a4dadcf,4cb08bc12654dad3 #GoGoDSummer2017/1995/1995-08-22d.sgf
59229b8f8fbc2252,bd819e0e738bd010 #GoGoDSummer2017/2008/2008-10-14n.sgf
5a7c67f2b27358e0,3c8a91b8bb064c25 #GoGoDSummer2017/1992/1992-03-08c.sgf
5baaeea44fbadba2,a3823d813afbc227 #GoGoDSummer2017/1993/1993-08-07d.sgf
5bef12ab32a2e801,f9cfef21dfd1a05d #GoGoDSummer2017/2002/2002-05-26c.sgf
5ce0473a8c1ec25f,182f8a0ca25b5903 #GoGoDSummer2017/1997/1997-12-07c.sgf
609c6dd87601c99e,057de08dabf3a5e9 #GoGoDSummer2017/1996/1996-06-28c.sgf
62d477c56125e312,69ca481e86ec5935 #GoGoDSummer2017/2008/2008-10-13h.sgf
6309b18d14b616b7,bad8801cbb178fcd #GoGoDSummer2017/2004/2004-05-09b.sgf
63393f5085253090,7db95249f127d79a #GoGoDSummer2017/1950-59/1956-10-00d.sgf
6428490ee7e5e1bf,fbec23091896ae0e #GoGoDSummer2017/2013/2013-09-02p.sgf
6516a79119d7fc2a,5ccc936d984e0d37 #GoGoDSummer2017/2013/2013-09-01g.sgf
6647ea983500b51d,d127bd0e0eda3867 #GoGoDSummer2017/1988/1988-07-26d.sgf
67585ec22cb0f96d,1b5672149fdf33b8 #GoGoDSummer2017/1986/1986-04-20b.sgf
694f292411ab68c1,c6968fa8b0a7b950 #GoGoDSummer2017/1950-59/1954-03-13b.sgf
698ed4fc39fa3e0a,f0873c2c4badbbb7 #GoGoDSummer2017/1988/1988-06-19d.sgf
69aa254e85e3df54,fd751f6fc4512b26 #GoGoDSummer2017/1980/1980-01-20b.sgf
69c5da639eaf53ff,296020fa2d868ff3 #GoGoDSummer2017/2001/2001-05-12a.sgf
6a94024e8e1803e8,7dba0182525e6d72 #GoGoDSummer2017/1950-59/1952-02-00c.sgf
6c117f75350bf5b9,52ba021a10ba6d06 #GoGoDSummer2017/1996/1996-07-29c.sgf
6d52edb1a7904c5b,348cc3505bec8872 #GoGoDSummer2017/1993/1993-08-23b.sgf
6d6786999bf9f301,76829e9b6b333b80 #GoGoDSummer2017/1950-59/1956-04-00b.sgf
6ee04943feaed446,cbecd7cdd12025ce #GoGoDSummer2017/2016/2016-06-05ak.sgf
6fa90224bda1aa13,3b46e0b40286e62e #GoGoDSummer2017/1950-59/1954-02-00b.sgf
7027b751f83603b6,bd21618d0e386541 #GoGoDSummer2017/1950-59/1952-11-00c.sgf
70377251af30a18f,12f417d3361c14d5 #GoGoDSummer2017/1995/1995-12-09c.sgf
7095d521f2b10545,9599ff0d9894e8d3 #GoGoDSummer2017/2008/2008-10-15ad.sgf
70f4067af8f7310a,9dc2c62b49b6857f #GoGoDSummer2017/1950-59/1955-12-00c.sgf
717e2fa2cd10a5a6,afba69a576619614 #GoGoDSummer2017/1994/1994-08-21b.sgf
7285896b6348f3b4,a881d289e8bff30a #GoGoDSummer2017/1996/1996-08-19b.sgf
73cef4ec92a7c8bf,3c06ae39fcd1bcfb #GoGoDSummer2017/1986/1986-07-20c.sgf
742d51a7efc4987c,e257de805270279e #GoGoDSummer2017/1960-69/1964-08-07a.sgf
75f7fa6cc4f1398f,e53c27c3ffeefcfd #GoGoDSummer2017/1930-39/1939-12-19a.sgf
79c9922201494357,155daea3d2cceb6c #GoGoDSummer2017/1930-39/1930-08-00a.sgf
7bdfa902eeca5eea,b92394151f14c2a8 #GoGoDSummer2017/1990/1990-04-29m.sgf
7e1930187cbccdc8,3c0858f82fabdf7f #GoGoDSummer2017/1989/1989-01-28a.sgf
8763d2d814c5c93c,c796eed9f9886759 #GoGoDSummer2017/2006/2006-02-26c.sgf
88ecb0c43c6f5cc3,1c85f616245dbb1d #GoGoDSummer2017/2008/2008-02-23c.sgf
893c950fe471c98f,9aff3f6c2e1bd23c #GoGoDSummer2017/1995/1995-07-01d.sgf
89898b3087050a0e,c0c0c45d06f9211e #GoGoDSummer2017/2015/2015-06-07i.sgf
89eab48f7d60fd2b,f7efce619e3b0df5 #GoGoDSummer2017/1996/1996-07-12a.sgf
8f7588b4959231fb,1dde7ed282f64449 #GoGoDSummer2017/1960-69/1962-07-31a.sgf
8ff8fe894604f9d6,3926cf134e6c9ff3 #GoGoDSummer2017/1920-29/1928-03-07k.sgf
90efe41de2feb1b5,b5049d089b156240 #GoGoDSummer2017/1989/1989-07-09f.sgf
922dd7e23c9120ee,6cb700e52db28cd5 #GoGoDSummer2017/1995/1995-08-06a.sgf
937ce39f69b8a431,50a00a0d6ba70431 #GoGoDSummer2017/2013/2013-09-01a.sgf
968f8a4765c6989a,35bc32aaafe860f0 #GoGoDSummer2017/2002/2002-08-22g.sgf
9751b23deb73dcd9,7392a05b52b77b7d #GoGoDSummer2017/1976-79/1978-10-01a.sgf
9753bbd66f31b099,1dc3aebf40656cb4 #GoGoDSummer2017/1988/1988-07-00d.sgf
98445a1db78edcc4,4df8fdb885ead1db #GoGoDSummer2017/1981/1981-05-00b.sgf
9b903c030f58b5c4,d197afa5d58b0107 #GoGoDSummer2017/1994/1994-12-17m.sgf
9cb8e6f7381a3fa7,35a2d977e4ff182b #GoGoDSummer2017/1989/1989-06-11c.sgf
9cbb6e1a81246e69,8d519641936b3eaa #GoGoDSummer2017/2016/2016-06-05ag.sgf
9eed24634b0c7afa,d89dddf52dd0808b #GoGoDSummer2017/2016/2016-06-06bg.sgf
a1b684cb5d307567,cfa17f757855911d #GoGoDSummer2017/2016/2016-06-06bn.sgf
a281cf945924d012,de8f9e872f4eeece #GoGoDSummer2017/1989/1989-04-30b.sgf
a2f09fd7e189756c,bd0870abea6e476d #GoGoDSummer2017/2016/2016-06-07ao.sgf
a502146b26aed644,0aa57d92979ced0a #GoGoDSummer2017/2003/2003-08-10c.sgf
a7d3c08e554c82b2,e83e1b5bb656b6ad #GoGoDSummer2017/1996/1996-11-03a.sgf
a96424a1acc7b74e,7483e47c8674033b #GoGoDSummer2017/2016/2016-06-06bc.sgf
aa2d3221938e24d1,9a237e07b8856002 #GoGoDSummer2017/1985/1985-07-00e.sgf
abd338e542a538d3,fb9f613d48948016 #GoGoDSummer2017/2016/2016-06-06ao.sgf
ae4ec9cfa1d501f6,eadd2455c1086024 #GoGoDSummer2017/1987/1987-11-29f.sgf
afc156bb4ff2c15c,1f16925791071fd0 #GoGoDSummer2017/2016/2016-06-05i.sgf
b09e6a342a26abc2,46769b6db78b209d #GoGoDSummer2017/1986/1986-07-31d.sgf
b216161f0e060770,70669446fc86bf21 #GoGoDSummer2017/1996/1996-06-23b.sgf
b3993b1b2cd80dd5,3c20cf4e8c5df3ca #GoGoDSummer2017/1992/1992-11-15e.sgf
b39b6d90c02ae6d9,38ad0cb4da9f8563 #GoGoDSummer2017/1950-59/1955-11-00c.sgf
b3c5eaf9817879bd,3a496fe495a6f82b #GoGoDSummer2017/2013/2013-09-01d.sgf
b40c7ec33a98dd03,31ddd6c2b4997e02 #GoGoDSummer2017/2006/2006-09-02a.sgf
b5a88281f20a5689,405886d241e2cc8a #GoGoDSummer2017/1990/1990-06-00d.sgf
b63071c30088c647,3e9716cb6e15acc3 #GoGoDSummer2017/2013/2013-09-04l.sgf
b713928385118417,040be9a5830ca769 #GoGoDSummer2017/1993/1993-05-09e.sgf
b745f580f62ce50e,5f41fe2f1b1c9868 #GoGoDSummer2017/1995/1995-12-09d.sgf
b906fda9a96c95ef,4620dee49891b67b #GoGoDSummer2017/2001/2001-07-15k.sgf
b9f22483d6b91c04,18761be9eadfe14c #GoGoDSummer2017/1950-59/1951-06-28a.sgf
ba6e229407ee5f45,5e9293babda8af01 #GoGoDSummer2017/1987/1987-11-01a.sgf
bab584d7bb018110,ce7d8ba8718d284a #GoGoDSummer2017/1960-69/1968-02-13a.sgf
bb33539b50bfba99,78336de0565d0c8f #GoGoDSummer2017/1950-59/1956-02-00b.sgf
bead6774cc0dc5a7,3a1b57d4c5b78e50 #GoGoDSummer2017/1999/1999-04-24b.sgf
bf120c19bdca81dd,a5916c731464bd55 #GoGoDSummer2017/2013/2013-09-01j.sgf
bf9590a0d0103b86,a29af50aa80f4982 #GoGoDSummer2017/2016/2016-06-05h.sgf
c0af2d1d9a99182f,a559e18387cc2255 #GoGoDSummer2017/1950-59/1955-03-00a.sgf
c0bef004466e50dc,fb587704edd98285 #GoGoDSummer2017/1950-59/1953-06-06a.sgf
c1c997bdf5d0273d,b1abb78bbaffeb56 #GoGoDSummer2017/1991/1991-07-07a.sgf
c3b7af741c1766be,bf4a0490d259aaac #GoGoDSummer2017/1987/1987-10-11a.sgf
c49233a3aa419eb4,288599a5e9c1a8ce #GoGoDSummer2017/2016/2016-06-05j.sgf
c4f58b22842298ff,80572d2f94109ab2 #GoGoDSummer2017/2002/2002-07-18h.sgf
c5fd0c6d36e88b33,71339d607185da7d #GoGoDSummer2017/1950-59/1955-09-00b.sgf
c6f201b72018441d,ad7ecb3410680261 #GoGoDSummer2017/1950-59/1955-04-00a.sgf
c7568d0bd0ea63d6,7657bbc9e99c9a47 #GoGoDSummer2017/1950-59/1955-07-00f.sgf
c87c21d3e4b1cdf1,fafb24cf43b95a50 #GoGoDSummer2017/1976-79/1978-12-24a.sgf
ca691eb433a74769,0d8ddc229e6c31b0 #GoGoDSummer2017/1970-75/1972-11-28a.sgf
ca865e5588b9a177,36b1d5e55f1391ee #GoGoDSummer2017/1995/1995-08-19d.sgf
cb2014be3d2ab2df,5888673a305935bc #GoGoDSummer2017/2015/2015-06-08ad.sgf
cbdde12772476d4f,7e480dec972c7c90 #GoGoDSummer2017/1996/1996-07-31g.sgf
cc6b70d6a07c48a4,6dcf3fdfb5dd959a #GoGoDSummer2017/2013/2013-09-02h.sgf
cdcfcabfdac638ef,f818d1555b30ff3f #GoGoDSummer2017/2003/2003-10-18c.sgf
d058161519eb1479,5cd9e161ff3c8f6c #GoGoDSummer2017/1950-59/1955-10-00b.sgf
d281bd03fc37cb6c,0dd5742f559817d3 #GoGoDSummer2017/2016/2016-06-07at.sgf
d489d8773bbcd78c,d6906e1a12ef61f0 #GoGoDSummer2017/1920-29/1925-08-00g.sgf
d50a5582a07b3321,f46903a88e2a6d6a #GoGoDSummer2017/2016/2016-06-07v.sgf
d555c7733e26f573,6a30b16f04121276 #GoGoDSummer2017/1996/1996-06-28d.sgf
d5bf26c88bee0a5f,dd2d1ea2f2bfa67d #GoGoDSummer2017/1976-79/1978-08-00o.sgf
d6c3f9fc8e3c7b7c,636140713239bbdf #GoGoDSummer2017/1976-79/1979-08-00k.sgf
d84a47d4358b1e5d,1ef5ad4e6897fd0c #GoGoDSummer2017/1993/1993-06-06a.sgf
d919fa0125540f17,46e22ace0761c282 #GoGoDSummer2017/1996/1996-08-23d.sgf
da5a6f728dd0e976,4abb09da4fa8fa89 #GoGoDSummer2017/1960-69/1966-05-25c.sgf
dbba527d7160a712,76f962b93cbed934 #GoGoDSummer2017/1990/1990-05-00a.sgf
dedc40915a8bc275,d35569af5547cdb5 #GoGoDSummer2017/2006/2006-08-26s.sgf
dfc5375f0da40922,2c67153ef67ce1fd #GoGoDSummer2017/1996/1996-06-02c.sgf
e0b48e031312f9bd,f9b2a9f80a850c16 #GoGoDSummer2017/2016/2016-06-08f.sgf
e0c21ff10e989bb9,436c5710321845ef #GoGoDSummer2017/1993/1993-08-23c.sgf
e0ccc94c57c9c2fb,eb7323201debac65 #GoGoDSummer2017/2016/2016-06-05aq.sgf
e84d97a84cd1f9aa,bf2f97f3e3f41873 #GoGoDSummer2017/1996/1996-07-21a.sgf
e8bf670049b8e5a9,9ba9cd99979da949 #GoGoDSummer2017/2008/2008-10-15x.sgf
eb3918fee5d46e25,790c74e4dd46c48d #GoGoDSummer2017/1996/1996-08-17a.sgf
ec9f14bf7e5a19dd,ba284e8ce3cdc4b0 #GoGoDSummer2017/1996/1996-08-19c.sgf
edcb825e4fadfb72,53043aefaf4a826f #GoGoDSummer2017/1960-69/1963-11-13a.sgf
ee9dde16709c2bd9,9ad3526fccf6838f #GoGoDSummer2017/1987/1987-08-09a.sgf
eea7b236a4f74557,0c1b81f99556d557 #GoGoDSummer2017/1950-59/1954-01-00a.sgf
f1ca1aa54191555a,61cfd2c9fe67c154 #GoGoDSummer2017/1983/1983-10-09a.sgf
f230677d6bee56ce,d470a89d32012ed6 #GoGoDSummer2017/1960-69/1965-11-00a.sgf
f7908dc48df37303,84ba1a2a23303765 #GoGoDSummer2017/2013/2013-09-02s.sgf
f82a8ec145e9e48d,69e9abc0f76004b3 #GoGoDSummer2017/1950-59/1955-07-00b.sgf
f857bee6ecd72e8f,90867891ae00dbe0 #GoGoDSummer2017/2008/2008-07-22d.sgf
facb2c4964bfaa67,8bee51d39d69f8fa #GoGoDSummer2017/1950-59/1956-01-00b.sgf
fc36deef0651ca46,aeeb8626f6d5054b #GoGoDSummer2017/1993/1993-11-14a.sgf
fd00ae97951c78ab,238078c961f39508 #GoGoDSummer2017/2013/2013-09-03t.sgf
fed3c1d286a6f9cc,83dbcea0a488c90e #GoGoDSummer2017/1991/1991-09-22d.sgf
ff7d0e5cca5eca5e,ef0b7d751b0645ba #GoGoDSummer2017/1950-59/1954-03-13a.sgf
ff9a871f642d7f33,e963df0e9bc8630b #GoGoDSummer2017/2016/2016-06-08aj.sgf

#World amateur go championship - contains some good high-dan games
#but also some very bad games, and rank filtering is not easy because some
#of the games have unranked players!
02823ca8ef1aad81,5dca1884c1df4efa  #GoGoDSummer2017/2015/2015-06-08ab.sgf
02a81cccaccebcbf,66d7b6101a380177  #GoGoDSummer2017/2013/2013-09-01k.sgf
02c87ce2c8530c40,6f6ce794f8ab76d4  #GoGoDSummer2017/2016/2016-06-05ab.sgf
02d76c1a183dcaff,e4dfd016fe90459a  #GoGoDSummer2017/2016/2016-06-06ax.sgf
034b83d6cc691cfc,52e090c1fb947135  #GoGoDSummer2017/2016/2016-06-08e.sgf
03e3943a069d7883,c30b7c8dcb68f129  #GoGoDSummer2017/2016/2016-06-05az.sgf
0454cde11f860270,ce302d8a22d725d5  #GoGoDSummer2017/2015/2015-06-07f.sgf
07f251e44c6f44da,935c170bee74497b  #GoGoDSummer2017/2016/2016-06-07ax.sgf
08ee2bccdc30042b,0503bb7fc17ab196  #GoGoDSummer2017/2014/2014-07-08b.sgf
09b4ec7e9b11add0,e15bb3335335d5ac  #GoGoDSummer2017/2010/2010-05-26h.sgf
09d49fd550f3fc80,8b1bd5760a6ce9f8  #GoGoDSummer2017/2016/2016-06-07d.sgf
09ee1a5b8403b1e4,d8fd629febc90783  #GoGoDSummer2017/2009/2009-05-29h.sgf
0a4749f57202a052,a413cfb801f38c82  #GoGoDSummer2017/2015/2015-06-09m.sgf
0afd03efdcd41414,d3f3f664dbf46023  #GoGoDSummer2017/2013/2013-09-02m.sgf
0c053e2c0c647227,0da544397de97ab8  #GoGoDSummer2017/2016/2016-06-05q.sgf
0c74193197dff91d,b364ea2ac9dd2b19  #GoGoDSummer2017/2016/2016-06-08x.sgf
0ca9684519b6831a,e93ce05bde4d8397  #GoGoDSummer2017/2009/2009-05-27r.sgf
0d237057647cd347,59ba7f536ae32c98  #GoGoDSummer2017/2015/2015-06-08v.sgf
0d5236002160325b,a4ad20850ff764f9  #GoGoDSummer2017/2016/2016-06-08r.sgf
0d7f2760d91279e6,3134bc2ab24a629e  #GoGoDSummer2017/2013/2013-09-01b.sgf
0e11f40e61b00897,792560e0e66cac37  #GoGoDSummer2017/2015/2015-06-10r.sgf
101da4276e844c79,e101462445584ae1  #GoGoDSummer2017/2016/2016-06-07u.sgf
10b809a6d03f8969,a30f69f7dc0681aa  #GoGoDSummer2017/2016/2016-06-08n.sgf
1101747a5d2c56a3,1b923f759443ffca  #GoGoDSummer2017/2010/2010-05-26f.sgf
1116ce0988dec193,f06138abe94841bb  #GoGoDSummer2017/2014/2014-07-08c.sgf
115b4236b29d747f,ba15d638cb0a8bab  #GoGoDSummer2017/2015/2015-06-07h.sgf
119b1765be09ba68,4a84270c4d376eed  #GoGoDSummer2017/2015/2015-06-08ac.sgf
11c6a61bda02d658,9f7026385c9ebdaf  #GoGoDSummer2017/2013/2013-09-02o.sgf
12c34446dd6ad39c,e15e5a33d976607b  #GoGoDSummer2017/2009/2009-05-27i.sgf
13293838fae5ee9a,b8d6f3ffc427bfe0  #GoGoDSummer2017/2010/2010-05-27i.sgf
1473b84a7edff0b7,7e143eca3d9feccf  #GoGoDSummer2017/2010/2010-05-26e.sgf
155285dcc9e1182e,5fd68c1a0d46376d  #GoGoDSummer2017/2013/2013-09-01o.sgf
15907e3856944ff1,145cf5f6dfba3c3a  #GoGoDSummer2017/2016/2016-06-06aq.sgf
17322c8b020da603,02caebf5857a9aab  #GoGoDSummer2017/2016/2016-06-06be.sgf
17fce868b228c631,66897d1327b4938f  #GoGoDSummer2017/2009/2009-05-27p.sgf
1885fe2bea3761f6,1a042b87fc93f4a6  #GoGoDSummer2017/2016/2016-06-07l.sgf
18fef59b9e757c46,21db76fe12286375  #GoGoDSummer2017/2016/2016-06-05ao.sgf
199e20565fde7051,1a00bf8a73db4bac  #GoGoDSummer2017/2016/2016-06-06ag.sgf
1a2fe59253b8e4c5,4b23daa1b3dc418e  #GoGoDSummer2017/2009/2009-05-30z.sgf
1b29bf10320ef4d0,ba241c871bfb869a  #GoGoDSummer2017/2009/2009-05-30ak.sgf
1b428fe5c789c171,eef6b937c6454ec9  #GoGoDSummer2017/2016/2016-06-08c.sgf
1bb790fe9f2781d7,771c3bc88789fe0e  #GoGoDSummer2017/2014/2014-09-21c.sgf
1c6c928e742ad70d,d29aa782d7c1e822  #GoGoDSummer2017/2010/2010-05-28d.sgf
1c7e7e78bfd66de9,5d4f8bc6ef0e3594  #GoGoDSummer2017/2016/2016-06-07ar.sgf
1d1f7c4e7cbd8b0f,1f324612050d6de6  #GoGoDSummer2017/2009/2009-05-27s.sgf
1ddddef2a5a7174c,b7af2b3ce9510dc9  #GoGoDSummer2017/2013/2013-09-02d.sgf
1ee942537cdc6bc6,3a2bde6de89ee4fe  #GoGoDSummer2017/2009/2009-05-30y.sgf
20a751eb583fcc24,59776c02668ab5b8  #GoGoDSummer2017/2011/2011-05-30c.sgf
21df5f77dbcb7c62,0f3568c0c835e4b1  #GoGoDSummer2017/2015/2015-06-10p.sgf
236ca70457bfb1d9,877dfc68a1a37a8d  #GoGoDSummer2017/2010/2010-05-27c.sgf
24938e52d83a496c,9752bda191da58eb  #GoGoDSummer2017/2013/2013-09-02e.sgf
24e43fc98c7d2629,4fbde360c578032e  #GoGoDSummer2017/2016/2016-06-08ac.sgf
25055f62dbbbb88b,99ebbfda8e798f57  #GoGoDSummer2017/2016/2016-06-07e.sgf
25afb5cc6f170d35,1549c97de6bef680  #GoGoDSummer2017/2009/2009-05-27t.sgf
269c6546b7e96120,76905063bbb9748e  #GoGoDSummer2017/2013/2013-09-01i.sgf
28d40402f59a9c2c,badf91e316612f59  #GoGoDSummer2017/2015/2015-06-09a.sgf
29ecca39fb2058cd,91d655b46484264e  #GoGoDSummer2017/2009/2009-05-27n.sgf
2a6067d56b2e3b4c,165e38a4337e56cd  #GoGoDSummer2017/2016/2016-06-05at.sgf
2aea254d20f9704d,87106899c041986e  #GoGoDSummer2017/2016/2016-06-05ah.sgf
2b789d22c8eb47de,969a1a2f9b2af5ef  #GoGoDSummer2017/2009/2009-05-27b.sgf
2b9ade6bdaf2a052,172acd1b5ce3347b  #GoGoDSummer2017/2011/2011-05-29c.sgf
2ba92a267c0a5c44,b029274fdc383920  #GoGoDSummer2017/2015/2015-06-10m.sgf
2bb94926625db77a,e47f212f2b9654ec  #GoGoDSummer2017/2016/2016-06-05f.sgf
2c5b59f5e6ebf825,46bdbb0d30e255e1  #GoGoDSummer2017/2010/2010-05-27h.sgf
2c785b99006a9120,c7117ffd3f616c8b  #GoGoDSummer2017/2015/2015-06-08q.sgf
2f37c4bb76557639,8d52ad7ac13cd42a  #GoGoDSummer2017/2016/2016-06-06aj.sgf
30be3c968e262fad,1c56ce21f2086eb3  #GoGoDSummer2017/2013/2013-09-02t.sgf
310be4ede4ccdd67,f99abe1ef83d6f0f  #GoGoDSummer2017/2016/2016-06-05ae.sgf
334786be058747b5,ad587f3438f1e494  #GoGoDSummer2017/2015/2015-06-08w.sgf
33fceba03368b754,bf9ea5a1f49cbb43  #GoGoDSummer2017/2016/2016-06-07am.sgf
3474e9b407bfad8f,75879c6fa1df82f1  #GoGoDSummer2017/2009/2009-05-28aq.sgf
34859e387dc280e7,a7d46187a3de48f7  #GoGoDSummer2017/2012/2012-05-14d.sgf
34af1616a3a3783f,89a593b6f3861931  #GoGoDSummer2017/2013/2013-09-01e.sgf
34d463020b07121d,965b8973b49f38fb  #GoGoDSummer2017/2010/2010-05-27d.sgf
372ab3d885fbf0ed,61ef526b3a02f75d  #GoGoDSummer2017/2016/2016-06-08m.sgf
3793c658633cbe87,b31b7dc30924a241  #GoGoDSummer2017/2009/2009-05-29j.sgf
37c893e9156aa4e7,017802da13cf7ee7  #GoGoDSummer2017/2016/2016-06-06ba.sgf
3807247a72d29316,a5e03bf9470e89ee  #GoGoDSummer2017/2010/2010-05-27g.sgf
38a51ae2306205ce,e1c49c5e8c45f17a  #GoGoDSummer2017/2015/2015-06-07g.sgf
38b189c91fd7e5b7,0fa328d144590510  #GoGoDSummer2017/2013/2013-09-02g.sgf
3909e0663e519fd9,0b08eb7fc1168700  #GoGoDSummer2017/2016/2016-06-08q.sgf
3979e1787efb0abe,80c7d765d7619a21  #GoGoDSummer2017/2013/2013-09-02u.sgf
3a8beaa2cfacc507,747c18ffa260fe2c  #GoGoDSummer2017/2009/2009-05-29m.sgf
