#File contains first 16 digits of sha256 hash, then next 16 digits of sha256 hash.

#These are a bunch of computer games in GoGoD. The ones pre-2014 are very weak. The ones in 2014-2015 are
#mostly stronger but not quite pro. We exclude all of them.
f1a2aefa5379ab9e,92fecc0c2e5a7f29 #GoGoDSummer2017/2010/2010-12-28a.sgf
ff4c768a62b8ee85,b2805f709377a6dd #GoGoDSummer2017/2010/2010-12-29b.sgf

#Corrupted game records
4be1e0f44241f02a,27a24291591d029a #GoGoDSummer2017/1991/1991-08-26b.sgf
114d866181b383f6,2d09b5e7420f3c4b #GoGoDSummer2017/1993/1993-12-20f.sgf
3a725037aae2187d,69ca7dcc86c41b2c #GoGoDSummer2017/1997/1997-10-05d.sgf

#Some weird games
cf78218d15a2ae13,c45ddff7d7e89015 #GoGoDSummer2017/2000/2000-05-30e.sgf
8a3516c6d70d6073,816f028888d12bd0 #GoGoDSummer2017/2007/2007-07-19l.sgf
89898b3087050a0e,c0c0c45d06f9211e #GoGoDSummer2017/2015/2015-06-07i.sgf
